ccaa,centil_hijo_loess
Cataluña,54.53267772895142
Aragón,53.611168123268975
La Rioja,52.26429740390724
Comunidad de Madrid,51.525951316842
Islas Baleares,51.43514630712429
Castilla y León,48.55616356993866
Castilla - La Mancha,48.269473740692064
Cantabria,47.294486836461516
Galicia,45.65694734548401
Principado de Asturias,44.836450964893515
Comunitat Valenciana,44.26266339103828
Región de Murcia,43.83130800296368
Extremadura,40.21112005717551
Canarias,40.17135646220216
Andalucía,39.04138445927376
